tract,region,n_lsRestaurants,n_subway,n_mcdonalds,state_fips,county_fips,unique_tract,total_population_estimate,median_age_total,median_age_male,median_age_female,unknown_race,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_races_including_some_other_race,two_races_excluding_some_other_race_and_three_or_more_races,commute_unkown,commute_less_than_5_minutes,commute_5_to_9_minutes,commute_10_to_14_minutes,commute_15_to_19_minutes,commute_20_to_24_minutes,commute_25_to_29_minutes,commute_30_to_34_minutes,commute_35_to_39_minutes,commute_40_to_44_minutes,commute_45_to_59_minutes,commute_60_to_89_minutes,commute_90_or_more_minutes,annual_income_unknown,annual_income_less_than_$10_000,annual_income_$10_000_to_$14_999,annual_income_$15_000_to_$19_999,annual_income_$20_000_to_$24_999,annual_income_$25_000_to_$29_999,annual_income_$30_000_to_$34_999,annual_income_$35_000_to_$39_999,annual_income_$40_000_to_$44_999,annual_income_$45_000_to_$49_999,annual_income_$50_000_to_$59_999,annual_income_$60_000_to_$74_999,annual_income_$75_000_to_$99_999,annual_income_$100_000_to_$124_999,annual_income_$125_000_to_$149_999,annual_income_$150_000_to_$199_999,annual_income_$200_000_or_more,tract,region,count_new_bus_past_year,total_businesses,average_visitors,new_business_proportion,n_lsRestaurants,n_subway,n_mcdonalds,tract,count_bigger_places_by_tract,region,n_lsRestaurants,n_subway,n_mcdonalds,count_bigger_places_by_tract_2
08001008706,CO,1,0,0,08,001,08001008706,6056,32.2,32.8,30.033333,6056,4292,752,30,13,0,847,122,35,87,2487,60,135,435,389,403,105,394,145,29,163,199,30,1219,36,183,12,41,4,31,116,55,74,145,194,122,90,50,66,0,08001008706,CO,2,10410,41.453025936599424,0.00019212295869356388,1,0,0,08001008706,0,CO,1,0,0,0
08001008709,CO,16,3,1,08,001,08001008709,7668,33.24,25.52,35.2,7668,5626,615,99,26,0,880,422,0,422,3149,49,285,411,642,300,29,684,54,254,153,227,61,1542,128,49,0,187,41,59,67,187,99,137,195,226,28,62,62,15,08001008709,CO,27,32880,35.55757299270073,0.0008211678832116788,16,3,1,08001008709,3,CO,16,3,1,3
08001008802,CO,1,0,0,08,001,08001008802,5396,29.766666,28.8,35.433334,5396,4126,90,161,119,15,798,87,58,29,2310,20,67,455,266,405,74,680,37,115,28,154,9,1023,57,35,6,74,53,74,51,99,64,57,32,231,62,58,70,0,08001008802,CO,9,10653,29.113676898526236,0.0008448324415657561,1,0,0,08001008802,0,CO,1,0,0,0
08001008901,CO,2,0,0,08,001,08001008901,2800,32.15,31.75,33.85,2800,2429,12,70,19,0,227,43,31,12,1102,0,110,204,225,99,40,223,11,32,93,35,30,534,20,0,17,8,33,44,38,15,25,47,94,101,59,19,5,9,08001008901,CO,4,8290,18.081785283474066,0.0004825090470446321,2,0,0,08001008901,0,CO,2,0,0,0
08001009001,CO,10,2,1,08,001,08001009001,4420,30.5,30.2,30.75,4420,3294,188,0,69,0,436,433,34,399,2297,22,275,255,425,253,126,305,86,78,280,53,139,1073,109,8,53,25,125,16,52,35,57,24,129,203,110,84,32,11,08001009001,CO,9,11433,46.78194699553923,0.0007871949619522435,10,2,1,08001009001,1,CO,10,2,1,1
08001009103,CO,1,1,0,08,001,08001009103,4435,26.55,26.65,28.75,4435,3705,0,320,25,0,91,294,95,199,1905,29,39,149,258,565,145,316,152,27,79,123,23,993,42,44,21,9,32,47,105,139,37,132,94,153,43,80,15,0,08001009103,CO,1,3483,56.84697100200976,0.0002871088142405972,1,1,0,08001009103,0,CO,1,1,0,0
08001009202,CO,1,0,0,08,001,08001009202,4554,32.733334,32.633335,32.166668,4554,3887,105,8,59,0,178,317,13,304,2315,28,79,190,292,443,207,424,127,169,141,182,33,1023,19,17,41,5,38,18,146,69,45,120,135,152,180,13,25,0,null,null,null,null,null,null,null,null,null,08001009202,0,CO,1,0,0,0
08001009203,CO,13,0,1,08,001,08001009203,5220,26.6,26.5,26.833334,5220,4440,30,0,230,0,203,317,37,280,2595,48,284,307,441,425,122,327,93,58,298,120,72,1127,156,51,24,29,54,66,123,104,31,155,110,109,91,0,3,21,08001009203,CO,24,23334,63.32844775863547,0.0010285420416559527,13,0,1,08001009203,1,CO,13,0,1,1
08001009204,CO,6,1,0,08,001,08001009204,6836,37.533333,38.6,36.433334,6836,5096,471,128,552,0,165,424,43,381,3767,0,123,310,547,507,419,492,246,282,314,442,85,1540,16,0,22,16,68,50,15,105,50,131,196,497,156,141,77,0,08001009204,CO,8,9871,56.32154796879749,0.0008104548677945497,6,1,0,08001009204,1,CO,6,1,0,1
08001009206,CO,4,0,1,08,001,08001009206,2340,33.9,35.7,32.6,2340,1873,33,37,201,0,54,142,40,102,1164,0,58,106,124,161,68,284,33,70,120,128,12,578,44,0,5,7,29,0,18,0,21,26,69,121,80,68,19,71,08001009206,CO,1,4333,58.059081467805214,0.00023078698361412417,4,0,1,08001009206,1,CO,4,0,1,1
