placekey,location_name,brand_id,latitude,longitude,tract,county,city
222-222@5qd-376-zs5,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.725888,-111.900254,49035102900,49035,Salt Lake City
222-222@5qd-r3f-975,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,37.255752,-107.075842,08007974200,08007,Pagosa Springs
222-222@5qf-km5-bx5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.044025,-108.554157,08077001301,08077,Grand Junction
222-222@5qf-mbh-yn5,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,38.748456,-108.071356,08029965100,08029,Delta
222-222@5qf-s59-ht9,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.152288,-108.738783,08077001501,08077,Fruita
222-222@5qh-f2m-3nq,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,42.852297,-106.27166,56025000502,56025,Casper
222-222@5qh-fb9-n89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,42.852245,-106.325523,56025000200,56025,Casper
222-222@5qk-jmc-nkf,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,40.396401,-104.75561,08123001409,08123,Greeley
222-222@5qk-k85-575,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,39.886266,-104.882408,08001008535,08001,Commerce City
222-222@5qm-f4g-x89,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.970343,-102.24841,08115968300,08115,Julesburg
222-222@5sy-4gy-6tv,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,44.774022,-106.943193,56033000100,56033,Sheridan
222-222@5w9-hnw-2p9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.61999,-116.370964,16001010333,16001,Meridian
222-222@5w9-j6b-5s5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.582736,-116.568094,16027020100,16027,Nampa
222-222@5w9-jd9-nt9,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,43.542316,-116.154948,16001010503,16001,Boise
222-222@5wq-s83-b6k,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,42.559922,-113.793932,16067970200,16067,Burley
222-222@5wr-bbs-fvf,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,43.195864,-112.360204,16011950500,16011,Blackfoot
222-222@5wr-gg5-3h5,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,42.859321,-112.435509,16005000800,16005,Pocatello
222-222@5ws-h43-35z,McDonald's,SG_BRAND_5179b21fc1d50950b99b4eecaa48c614,41.832922,-111.832339,49005000202,49005,Smithfield
222-223@5q6-r63-pgk,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.659381,-106.82588,08037000403,08037,Eagle
222-223@5q9-b6h-9xq,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.534719,-105.011096,08035014128,08035,Highlands Ranch
222-223@5q9-b99-vfz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.47082,-104.875685,08035014122,08035,Castle Pines
222-223@5qd-22p-f75,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,41.140766,-112.065044,49011125303,49011,Clinton
222-224@3x5-4my-g8v,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,47.703642,-116.8065,16055000900,16055,Coeur D Alene
222-224@5q9-4sp-rzf,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.393477,-104.754398,08035013909,08035,Franktown
222-224@5q9-9zr-fzz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.710814,-104.940207,08005004952,08005,Glendale
222-224@5qf-knx-gkz,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,39.084266,-108.552015,08077000602,08077,Grand Junction
222-224@5qk-kqn-ch5,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,40.119802,-104.939922,08123002016,08123,Firestone
222-224@5wb-8k2-jy9,Subway,SG_BRAND_de80593878cb1673c62a7f338dc7e4e1,43.457137,-114.256625,16013960100,16013,Bellevue
